ARQUIVO, MILISEGUNDOS
ex01.m-ext.m,1.0500000025785994
ex02.m-ext.m,2.909999999246793
ex03.m-ext.m,5.954999996902188
ex04.m-ext.m,2.794999998732237
ex05.m-ext.m,20.264999999199063
ex06.m-ext.m,24.11000000211061
ex07.m-ext.m,41.195000001607696
ex08.m-ext.m,52.550000000337604
ex09.m-ext.m,75.02999999996973
ex010.m-ext.m,106.66499999933876
ex011.m-ext.m,147.59000000049127
ex012.m-ext.m,207.76499999919906
ex013.m-ext.m,275.5749999996624
ex014.m-ext.m,367.80999999973574
ex015.m-ext.m,482.319999999163
ex016.m-ext.m,618.5549999972864
ex017.m-ext.m,847.1050000007381
ex018.m-ext.m,953.7500000005821
ex019.m-ext.m,1176.9150000000081
ex020.m-ext.m,2748.3500000016647
